City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,veraval,20.9,70.3667,20.87,35,74,4.05,IN,1707708097
30,edinburgh of the seven seas,-37.0676,-12.3116,17.25,74,21,8.93,SH,1707708098
31,bereeda,11.8704,51.0579,24.17,81,38,4.47,SO,1707708098
32,tiksi,71.6872,128.8694,-34.51,100,100,0.66,RU,1707708099
33,atafu village,-8.5421,-172.5159,28.15,82,100,7.91,TK,1707708099
34,sisimiut,66.9395,-53.6735,-21.46,92,43,1.99,GL,1707708100
35,blackmans bay,-43.0167,147.3167,23.07,63,55,0.89,AU,1707708100
36,talnakh,69.4865,88.3972,-33.98,88,16,1.53,RU,1707708101
37,iqaluit,63.7506,-68.5145,-27.95,68,20,2.06,CA,1707708101
38,sabha,27.0377,14.4283,16.81,31,48,4.29,LY,1707708102
39,kodiak,57.79,-152.4072,0.73,80,0,2.06,US,1707708103
40,lokoja,7.8024,6.743,27.62,29,25,0.88,NG,1707708104
41,sambava,-14.2667,50.1667,25.15,88,94,2.2,MG,1707708104
42,port mathurin,-19.6833,63.4167,27.41,85,92,8.42,MU,1707708105
43,yeppoon,-23.1333,150.7333,31.88,52,65,6.33,AU,1707708105
44,tafuna,-14.3358,-170.72,28.54,82,100,8.69,AS,1707708106
45,anadyr,64.75,177.4833,-23.72,70,99,5.0,RU,1707708106
46,zapata,26.9073,-99.2714,19.06,27,0,4.12,US,1707708107
47,bol,13.4586,14.7147,22.83,35,7,4.85,TD,1707708108
48,kingston,17.997,-76.7936,25.53,78,20,7.2,JM,1707708004
49,ust-nera,64.5667,143.2,-29.96,96,48,0.84,RU,1707708109
50,san patricio,28.017,-97.5169,18.92,64,0,4.28,US,1707708109
51,revda,56.801,59.9303,-17.31,95,100,3.96,RU,1707708110
52,aibak,36.2647,68.0155,9.82,34,100,2.18,AF,1707708110
53,udachny,66.4167,112.4,-30.59,96,100,3.09,RU,1707708111
54,laguna,38.421,-121.4238,11.17,71,0,0.0,US,1707708111
55,akureyri,65.6835,-18.0878,-0.04,93,100,6.69,IS,1707708112
56,rantepao,-2.9701,119.8978,25.35,78,95,0.73,ID,1707708112
57,hunstanton,52.95,0.5,3.39,91,19,0.89,GB,1707708113
58,badger,64.8,-147.5333,-11.86,80,0,1.54,US,1707707905
59,weno,7.4515,151.8468,30.97,66,40,6.17,FM,1707708114
60,ushuaia,-54.8,-68.3,4.13,93,33,1.59,AR,1707707824
61,huarmey,-10.0681,-78.1522,25.03,80,100,3.42,PE,1707708115
62,vilyuchinsk,52.9306,158.4028,-7.85,58,9,3.13,RU,1707708116
63,chernyshevskiy,63.0128,112.4714,-28.08,94,100,2.65,RU,1707708116
64,berezovyy,51.6667,135.7,-7.69,68,100,1.05,RU,1707708117
65,sinabang,2.4803,96.3801,29.08,68,5,0.95,ID,1707707900
66,waingapu,-9.6567,120.2641,30.88,66,70,5.41,ID,1707708118
67,georgetown,5.4112,100.3354,30.97,48,20,6.69,MY,1707707946
68,gaalkacyo,6.7697,47.4308,20.99,93,45,3.19,SO,1707708119
69,wailua homesteads,22.0669,-159.378,25.44,72,75,3.09,US,1707708120
70,brynamman,51.8,-3.8667,4.89,92,70,1.34,GB,1707708121
71,cascais,38.6979,-9.4215,17.51,98,89,9.83,PT,1707708121
72,la'ie,21.6477,-157.9253,25.98,63,36,0.89,US,1707708122
73,minas de marcona,-15.2119,-75.1103,19.86,80,99,4.82,PE,1707708122
74,mount pearl,47.5166,-52.7813,1.19,92,100,4.63,CA,1707708123
75,port lincoln,-34.7333,135.8667,25.5,54,2,3.45,AU,1707708123
76,rabigh,22.7986,39.0349,20.05,27,3,3.95,SA,1707708124
77,guaiba,-30.1139,-51.325,28.92,70,0,1.54,BR,1707707988
78,nemuro,43.3236,145.575,-2.34,63,29,6.17,JP,1707708125
79,san marcos,33.1434,-117.1661,12.22,74,0,0.45,US,1707708111
80,lazaro cardenas,17.9583,-102.2,22.41,82,3,2.37,MX,1707708126
81,colonia,50.9333,6.95,8.81,86,100,4.63,DE,1707707975
82,kot radha kishan,31.1725,74.0997,10.06,29,74,0.5,PK,1707708127
83,palikir - national government center,6.9248,158.1611,30.47,70,100,7.72,FM,1707708128
84,jumla,29.2747,82.1838,6.41,26,0,1.15,NP,1707708128
85,alofi,-19.0595,-169.9187,27.94,94,100,4.12,NU,1707708129
86,coquimbo,-29.9533,-71.3436,17.85,82,0,1.54,CL,1707708130
87,tolanaro,-25.0319,46.9987,23.69,98,80,1.55,MG,1707708130
88,chimoio,-19.1164,33.4833,18.37,97,84,4.17,MZ,1707708131
89,maine soroa,13.2114,12.0241,20.63,10,0,3.58,NE,1707708131
90,kuroishi,40.6389,140.5922,5.09,80,40,5.14,JP,1707707973
91,badnawar,23.0167,75.2167,16.41,40,100,4.12,IN,1707708132
92,krasnoyarskaya,47.6501,42.0443,4.95,95,100,1.38,RU,1707708133
93,necochea,-38.5473,-58.7368,21.83,81,0,4.56,AR,1707708134
94,mili,6.0815,171.735,27.58,78,79,10.81,MH,1707708134
95,karaton,-6.3424,106.1045,29.43,65,20,1.94,ID,1707708135
96,stanley,54.868,-1.6985,3.49,87,20,2.06,GB,1707708135
97,machico,32.7,-16.7667,20.0,87,20,1.54,PT,1707708136
98,carnarvon,-24.8667,113.6333,25.79,74,0,7.07,AU,1707708136
99,bereket,39.2446,55.5154,9.94,50,32,3.16,TM,1707708137
100,vorgashor,67.5833,63.95,-33.34,100,100,1.81,RU,1707708138
101,quixere,-5.0742,-37.9886,26.53,80,53,3.25,BR,1707708138
102,lihue,21.9789,-159.3672,25.77,71,75,3.09,US,1707708139
103,kotsyubyns'ke,50.4884,30.3296,3.54,87,99,2.15,UA,1707708139
104,dalandzadgad,43.5708,104.425,0.26,50,0,4.68,MN,1707708140
105,alamos,27.0167,-108.9333,12.34,28,0,1.27,MX,1707708141
106,kill devil hills,36.0307,-75.676,15.0,94,100,1.54,US,1707708141
107,bredasdorp,-34.5322,20.0403,17.54,94,2,2.52,ZA,1707708142
